comps,compAVG
2,29842.5000
6,14023.0000
1,26036.0000
5,16841.6000
3,15737.2500
38,14600.8605
4,18832.8000
2,22493.0000
2,29675.5000
14,10774.5000
7,11219.0000
4,13108.4000
1,30680.0000
3,18243.0000
4,11031.0000
27,8996.4722
13,11474.6923
33,10274.2647
1,22191.0000
115,10458.2588
24,12921.5000
26,12724.4333
5,24551.2000
11,17739.9091
2,14597.0000
63,9205.9643
1,23880.0000
4,9227.0000
2,13823.0000
25,8944.0263
1,38080.0000
8,11357.4000
6,24772.4286
20,12081.5200
3,12714.0000
37,11800.3000
22,18130.7826
3,18442.6667
1,17318.0000
1,16324.0000
5,15497.4000
60,11638.0541
25,11609.8667
1,29288.0000
1,11376.0000
21,13790.2000
19,12188.6667
1,29693.0000
2,24752.5000
1,30854.0000
20,12169.0417
5,15083.0000
1,28554.0000
2,15947.0000
6,13586.3333
6,17012.2857
12,15721.9231
17,13520.8889
1,15708.0000
1,17949.0000
1,19565.0000
22,17481.4783
1,22260.0000
2,11757.0000
2,14171.5000
40,10183.4902
15,13323.1250
4,10381.8000
2,25978.5000
1,32722.0000
1,22092.0000
30,12090.1892
6,15769.8333
6,20538.8333
12,17300.4167
5,11455.0000
15,10795.5789
3,23411.6667
15,9066.3333
4,20306.5000
27,11142.6857
1,13066.0000
2,17678.5000
42,7312.1250
1,16475.0000
14,16459.1429
11,11458.8125
1,42785.0000
48,7369.7447
5,15893.3333
1,30536.0000
4,17693.5000
19,12834.8182
99,10926.0226
97,9535.4467
51,10432.1039
4,32341.0000
1,14608.0000
1,33991.0000
5,24733.4000
3,24391.0000
2,40133.5000
12,10814.7143
11,12360.8182
2,22576.5000
8,12400.5000
7,12365.2857
1,20320.0000
20,7323.8333
13,15914.5333
24,9118.6429
5,15102.5714
3,19714.6667
3,11103.0000
1,23951.0000
5,19100.4000
35,10834.1282
61,10953.3765
1,19273.0000
31,10076.8537
4,18105.7500
2,16872.5000
3,24588.0000
7,11223.0000
15,15204.6875
5,13290.3333
1,26859.0000
130,7059.5701
100,7338.9415
5,18561.0000
10,11370.3077
5,16415.3333
1,16152.0000
4,20201.7500
1,10962.0000
1,19553.0000
2,32970.0000
1,12819.0000
28,8627.7429
49,9236.5000
13,9237.3043
15,9721.6875
2,12571.7500
1,33879.0000
2,17146.0000
8,20543.1250
60,10377.9167
1,18795.0000
3,14103.3333
2,19337.0000
5,15379.0000
1,28622.0000
16,12629.1250
1,23460.0000
