333,pyraminx
4258,1710
1378,1158
1469,1197
3220,1485
1853,649
1412,1143
1626,2902
1781,1182
3677,1868
1411,1368
2118,3099
2160,1810
2668,1546
1233,1552
1422,1030
1814,2018
1432,3806
972,489
1003,477
1250,640
1989,1838
1021,977
5995,1546
1684,1965
1775,1648
1059,723
4672,1849
1376,3994
3435,3156
1970,981
1670,1150
763,974
1403,1424
1389,833
2124,1561
1281,1392
898,965
1939,867
3658,1439
4425,2021
1445,2364
1835,1113
4968,2885
4975,2979
7520,2486
1590,387
1198,549
1179,982
4523,2221
1862,1463
1274,806
1026,1260
1407,1445
1861,1725
1884,1241
1848,1666
1241,1717
1440,2234
3904,1836
1649,2076
1463,875
1402,1107
1450,1702
2274,1547
1270,1170
1951,1268
1412,1421
3937,2063
1569,958
1671,11851
1304,2596
1074,958
789,797
4187,6013
2193,2132
970,780
1280,3572
1364,2111
1545,4546
1904,1566
3371,1287
1334,982
2746,2002
1115,896
2066,2758
1497,2877
1322,1177
879,441
4485,2491
1548,1239
1417,1069
1192,1492
1164,959
2077,1431
914,878
1707,1311
2574,1472
1778,1960
1347,2083
1832,1368
1055,733
1091,630
977,721
3424,1233
1610,2903
4974,1634
3242,1611
1898,2592
1144,3141
1276,1198
2194,1370
1428,961
5647,1871
3773,3484
2047,1097
1121,1292
2217,2611
1363,2520
2163,1582
1276,599
1034,963
1274,1023
1382,1598
1335,990
1176,835
1108,604
1010,817
2330,2500
1013,1213
1541,1717
4500,2853
1478,1127
2532,2591
1703,2857
646,573
1951,1109
1076,3462
1352,1132
1103,1410
1683,1571
1622,1203
1193,897
1871,1103
2886,1744
915,714
811,647
2374,3672
1116,1804
2327,992
1002,448
1077,629
1196,1370
2540,1450
1064,477
2810,3041
1209,1533
4569,1841
1364,1124
1941,1641
1917,1596
2858,2293
1031,266
1145,1548
4776,1956
1288,1260
1110,429
4131,3427
2049,6511
3355,1445
1830,3364
1412,1256
3883,1843
1594,1864
2412,860
1060,475
912,509
2201,1258
2662,1549
1238,1192
1753,1443
1053,321
2498,1483
7857,4324
1250,963
1059,676
2857,1689
1016,1629
1608,865
1440,1052
1110,796
1092,1204
1717,1227
1071,2356
1566,982
979,681
1239,671
2970,1765
1894,1452
1536,1277
1829,4803
2510,3248
2822,1408
1300,1617
1804,2558
2452,1206
2624,2011
1628,2751
1600,1136
1148,1469
1411,1172
1078,1257
2362,1460
1785,1009
1787,1990
3600,2518
2264,1873
1238,743
1047,1828
1327,790
1843,1351
2058,1505
2424,1518
1856,616
1465,1146
1280,1251
1547,1308
798,556
1143,638
1872,736
1700,1466
1301,725
1023,903
2762,2221
2339,2987
1580,1003
1240,492
1423,1375
1593,1830
1122,867
1225,791
3075,1516
1372,1201
1861,1497
1617,1065
2597,1513
2037,1445
1521,2273
1890,1490
2065,1308
2022,2608
2166,2516
1781,1702
1472,1004
1250,1464
7833,5727
1220,821
2004,1992
4309,1547
1061,1546
2921,2851
4897,5443
3528,2099
2789,701
3694,3726
1776,766
1822,1697
2089,1174
2250,941
1472,1040
3170,4669
1444,723
1265,2976
1276,1105
887,699
2459,849
933,485
1840,993
1110,957
1631,1220
7749,2805
1392,1928
2505,2930
4977,18362
1311,3163
2136,1258
1819,898
1038,979
3740,1402
1399,1346
1300,1784
1024,730
1797,3340
1027,538
974,1260
1148,748
2327,1377
827,477
2401,1123
1963,2785
1117,1669
2267,1377
2265,899
1164,634
1469,666
973,765
1825,1752
1521,1473
1357,1142
907,503
2095,1455
1715,1061
917,1353
5770,4064
1233,1250
1489,1668
1488,804
1532,2191
1724,1585
1747,2642
4744,1753
2450,1753
1489,1030
2323,2157
2184,2400
1677,1270
1425,767
2394,1583
3062,1091
5751,2081
1667,1814
1140,950
1374,2943
1129,346
1325,1634
1382,956
2088,4073
1482,1992
1602,979
790,731
1643,1060
1452,1183
965,1032
1532,1000
1927,936
829,666
932,703
2049,2186
1830,1373
1233,1157
1259,640
1610,787
1137,1234
1282,487
