pyram,clock
447,1220
841,1335
434,2019
489,1510
1125,1773
1188,3128
955,1020
1288,3138
1576,3218
590,1307
587,1873
1223,2613
654,684
935,6227
1284,2538
553,941
1299,1206
799,1517
650,1913
1998,5105
1140,5604
1346,1379
747,2214
2607,5987
2011,2450
2529,2472
1237,1673
1096,1299
596,1439
453,1929
1032,1147
1265,1661
1897,5553
1256,3659
1642,5640
1251,1765
877,783
1011,1620
527,1203
591,1609
749,1629
486,1148
3507,11663
709,3163
1309,6038
1422,1678
2177,2507
429,825
1263,1065
621,824
1419,1456
2668,3288
718,793
931,3692
445,2965
328,1026
734,2672
653,1608
476,1257
730,2277
763,1578
3538,7928
877,2403
1090,3764
1237,7683
1078,4353
2474,3231
1611,2700
546,1027
607,2388
1346,3792
627,3476
601,1434
406,1364
1345,2695
570,836
797,3143
489,1144
1373,1607
1757,941
555,3461
1262,5319
617,1015
1641,2604
525,1997
1048,2468
859,3202
557,1220
1376,2984
3030,1422
947,906
811,1744
1130,2841
673,1011
882,1338
1833,3008
264,1525
658,3343
464,897
367,642
735,2032
671,1285
1802,4425
1917,2177
887,1379
1042,1947
1348,4299
5961,17412
736,1104
895,1862
819,1234
337,1265
1919,3737
451,1370
589,946
552,1219
1287,4237
524,2366
1264,3239
729,1311
729,2128
473,1279
583,3043
1379,1630
3397,4544
931,2920
1003,1380
650,2735
676,1905
1217,1560
1780,10544
991,1804
1525,2541
459,3620
1794,4188
900,2185
1463,6909
1257,4854
859,1244
687,3042
446,1736
948,2132
344,2008
658,1882
433,536
1360,3094
1808,2279
972,1059
1263,2621
877,5017
760,1526
986,3148
1405,1074
1420,3534
715,1826
327,919
2055,2666
430,1572
660,1880
637,2027
815,1338
462,3277
1510,3382
2044,3317
719,1803
1639,3236
592,1887
1074,1917
469,949
392,1291
554,2121
439,911
1106,4319
660,6355
662,2007
571,1357
472,1697
663,1185
675,927
1044,2783
1222,5321
1607,1934
1278,4307
581,1707
1096,1204
1399,3127
709,2110
495,1031
566,1253
963,1377
467,1910
706,1713
636,1492
914,3332
1111,2060
620,1167
405,3280
861,7123
1221,6867
852,3336
954,4526
800,1815
389,1647
1862,3149
768,2692
423,1628
681,894
516,1018
820,3595
1018,2842
584,1798
437,746
974,1173
533,1155
506,1215
916,1872
487,1502
803,2962
1064,2375
1131,3484
644,2027
2645,1581
1151,1773
406,3108
543,1108
908,2786
1117,2809
534,1272
1176,4021
722,1130
806,3431
874,2284
422,895
589,5491
830,2045
1056,1512
1489,1960
1510,3776
677,3011
1472,2692
1016,1379
599,639
1387,2277
834,2709
862,3206
487,1351
1618,2331
338,1951
1385,11140
1464,2464
954,3898
1181,3498
429,2075
1373,2642
1784,1327
694,3215
520,781
1649,2641
620,1991
447,1864
1261,2006
1579,3399
27636,4814
1990,3736
741,1470
539,1100
1175,4105
1799,3571
1192,1770
360,1803
550,6471
1798,2740
753,2119
551,1395
1583,3166
2042,626
641,763
668,3842
2404,1572
1165,1749
1069,4263
1886,2962
1750,3026
560,1370
783,2062
385,774
330,2892
394,1871
1407,2396
1109,2022
680,1279
686,1708
577,2155
474,1265
601,1788
359,774
735,4863
924,2554
653,1588
281,1842
552,1989
956,2749
1672,2319
378,925
1103,6062
1181,965
356,933
640,1209
458,2300
1508,2641
1789,10864
242,946
811,1371
1306,1445
993,4866
1235,2358
1183,918
713,1203
663,954
1028,2118
858,2495
789,651
771,3460
643,3728
1466,2370
1123,2423
1105,4365
658,1717
540,1248
828,3999
1442,3754
312,4415
679,980
534,1208
620,2902
1740,3947
1196,2860
1026,3075
1037,1672
351,759
856,1258
733,3981
814,1944
493,880
1879,3215
634,1959
569,1093
1446,3341
2412,3053
449,1035
786,4672
639,713
710,861
760,4183
707,1230
1076,995
915,589
1192,1502
528,1591
565,887
1060,2757
772,4099
1096,4094
1468,1175
934,1422
260,1897
709,2307
2319,1407
1359,4430
1018,1522
483,1432
591,1700
557,1157
786,1280
945,800
1593,3409
1443,3190
1859,748
759,1210
307,1005
537,2515
456,1456
1753,7491
683,7156
572,776
420,1384
1474,1363
