comps,compAVG
1,18639.0000
5,20960.2000
1,20274.0000
2,9559.0000
1,15223.0000
1,30066.0000
3,7267.7500
1,36521.0000
4,13662.7500
3,9602.6667
2,18585.5000
2,37613.0000
1,17207.0000
2,40100.0000
1,32537.0000
1,32727.0000
1,17148.0000
2,14101.0000
1,25458.0000
1,33265.0000
3,13049.6667
4,16267.0000
16,3625.3750
1,18562.0000
4,7279.5000
1,6048.0000
2,26566.0000
1,26731.0000
3,18874.6667
2,24045.5000
1,44364.0000
5,8594.0000
11,8142.7273
1,18671.0000
1,16667.0000
20,8849.2609
6,11765.1667
6,15826.1667
12,4834.4667
1,21655.0000
1,29292.0000
1,18375.0000
2,24935.5000
1,39471.0000
6,9298.5000
6,3701.8333
2,14196.0000
2,22213.5000
1,20713.0000
1,34698.0000
1,34080.0000
3,17060.7500
1,22129.0000
3,15699.6667
7,12280.5714
2,24107.0000
1,13293.0000
1,26753.0000
2,15426.3333
1,14639.0000
1,17928.0000
22,3903.6400
6,3670.8333
4,14014.7500
2,16234.0000
2,20892.0000
2,13665.0000
1,32790.0000
1,7524.0000
1,10185.5000
3,4842.3333
2,14740.0000
6,13052.2857
1,20109.0000
25,11912.1000
6,10888.3333
6,21783.4286
1,4283.0000
1,22404.0000
5,27044.6000
9,12210.3000
1,19991.0000
1,23988.0000
1,10426.0000
27,11392.6000
5,12825.6667
1,26982.0000
9,30942.2222
28,6215.7879
2,16042.0000
3,18187.0000
2,16945.0000
54,5156.1875
1,23541.0000
4,12227.7500
7,3949.1429
1,35182.0000
1,11139.0000
2,6211.0000
1,15448.0000
2,10971.0000
1,44445.0000
4,13689.5000
1,34304.0000
5,14322.0000
8,7969.5000
19,3087.2381
4,21230.0000
2,27584.5000
2,11032.5000
10,24160.2727
1,7729.0000
2,16789.6667
1,24961.0000
3,15052.3333
3,7459.3333
1,8860.0000
1,27858.0000
1,25073.0000
5,17264.2000
1,19126.0000
9,19429.1111
2,15773.0000
2,5999.6667
3,19334.6667
11,11361.8182
3,7261.6667
12,21764.7500
3,7839.0000
1,18996.0000
1,13844.0000
5,12280.0000
1,16238.0000
7,8699.1429
3,15367.6667
1,13921.0000
1,5008.0000
2,15930.5000
1,21880.0000
2,7356.5000
4,11818.5000
5,14624.2000
10,14146.3333
11,4986.2500
15,9171.1875
4,6713.2500
29,7766.7188
1,15738.0000
1,55536.0000
3,8096.6667
